,urn,title,authors,year
490,URN:NBN:no-nb_digibok_2013073008051,Sansene,"Johnsen , Janne Aasebø",2013
1166,URN:NBN:no-nb_digibok_2018091107023,Ordriket : Lesebok 1B,,2013
4728,URN:NBN:no-nb_digibok_2018101107188,Sansane,"Johnsen , Janne Aasebø",2013
1179,URN:NBN:no-nb_digibok_2018062707223,Saga : Grunnbok 8,"Jensen , Marit / Groseth , Johannes",2013
2455,URN:NBN:no-nb_digibok_2018102977006,Ordriket : Arbeidsbok 3B,,2013
3413,URN:NBN:no-nb_digibok_2019082007077,Fnugg i Antarktisk,"Brenden , Laila",2013
23,URN:NBN:no-nb_digibok_2020110507656,Zeppelin : norsk for barnetrinnet : [4. trinn] Arbeidsbok til Lesebok 4,"Elsness , Turid Fosby",2014
2698,URN:NBN:no-nb_digibok_2019082607017,Tall er ikke tull,"Bjaberg , Sondre Harvik",2014
4564,URN:NBN:no-nb_digibok_2018070205087,Salto : [2. trinn] Arbeidsbok A : stavskrift,,2014
2101,URN:NBN:no-nb_digibok_2021010707525,Saman klarer vi alt,"Klepp , Anneli",2014
754,URN:NBN:no-nb_digibok_2018103007217,Saga : Lesebok 9,"Jensen , Marit / Groseth , Johannes",2014
4036,URN:NBN:no-nb_digibok_2018101007308,Fabel : norsk for ungdomstrinnet : Lærebok 9,,2014
1941,URN:NBN:no-nb_digibok_2018101007166,Salto : [2. trinn] Arbeidsbok B : stavskrift,,2014
